Country,Cases,Daily Cases,Case Inc,3-day Case Inc, 7-day Case inc,+/- Case %, Cases per 1k,Deaths,Daily Deaths,Death Inc,3-day Death Inc, 7-day Death inc,+/- Deaths %, Deaths per 1k,Mortality,Delayed Mortality,Population 2018
ABW,28,0,0,14.2231,41.2497,-27.0266,0.264538,	0,0,0,0,0,0,0,	0,0,	105845
AFG,106,15,14.1509,25.2445,17.8439,7.40059,0.00285158,	3,1,33.3333,27.7778,26.1905,1.5873,8.07051e-05,	6.66667,13.6364,	37172386
AGO,4,0,0,19.4444,22.619,-3.1746,0.000129829,	0,0,0,0,0,0,0,	0,0,	30809762
ALB,197,11,5.58376,14.6269,13.7259,0.901,0.0687279,	10,1,10,20,18.5714,1.42857,0.00348873,	9.09091,18.1818,	2866376
AND,308,41,13.3117,19.418,18.4415,0.976467,3.99969,	4,1,25,41.6667,17.8571,23.8095,0.051944,	2.43902,28.5714,	77006
ARE,467,63,13.4904,18.9715,15.5075,3.46398,0.0484895,	2,0,0,0,14.2857,-14.2857,0.000207664,	0,1.78571,	9630959
ARG,745,55,7.38255,19.8998,19.8201,0.0796791,0.0167436,	19,2,10.5263,32.7571,22.3721,10.385,0.000427019,	3.63636,24.0506,	44494502
ARM,424,52,12.2642,14.766,14.8488,-0.0828101,0.143642,	3,2,66.6667,55.5556,23.8095,31.746,0.00101634,	3.84615,3.84615,	2951776
ATG,7,0,0,19.0476,17.6871,1.36054,0.0727001,	0,0,0,0,0,0,0,	0,0,	96286
AUS,3805,431,11.3272,14.2232,18.5788,-4.35557,0.152246,	14,1,7.14286,16.6001,8.90003,7.70004,0.000560171,	0.232019,3.11111,	24992369
AUT,8291,594,7.1644,14.1227,15.0879,-0.965238,0.93715,	68,0,0,23.3032,28.2252,-4.922,0.00768619,	0,5.10511,	8847037
AZE,182,17,9.34066,21.8745,18.2899,3.58451,0.0183056,	4,1,25,36.1111,15.4762,20.6349,0.00040232,	5.88235,14.2857,	9942334
BEL,9134,1850,20.254,23.0013,18.2164,4.78487,0.79968,	353,64,18.1303,30.8524,27.2345,3.61791,0.0309051,	3.45946,28.399,	11422068
BEN,6,0,0,5.55556,10.9524,-5.39683,0.000522418,	0,0,0,0,0,0,0,	0,0,	11485048
BFA,180,34,18.8889,17.9882,18.6248,-0.636615,0.00911322,	9,6,66.6667,22.2222,19.0476,3.1746,0.000455661,	17.6471,45,	19751535
BGD,48,0,0,6.25,13.2277,-6.97774,0.000297479,	5,0,0,6.66667,25.4762,-18.8095,3.09874e-05,	0,62.5,	161356039
BGR,331,38,11.4804,12.9341,12.7681,0.165992,0.0471227,	7,4,57.1429,19.0476,8.16327,10.8844,0.000996552,	10.5263,8.64198,	7024216
BHR,473,7,1.47992,6.21106,6.91872,-0.707656,0.301382,	4,0,0,8.33333,15.4762,-7.14286,0.00254868,	0,1.68776,	1569439
BHS,11,2,18.1818,27.5421,11.8038,15.7383,0.028524,	0,0,0,0,0,0,0,	0,0,	385640
